date,avg_temp
6/1/1988,26.188
7/1/1988,25.945
8/1/1988,25.922
9/1/1988,26.269
10/1/1988,26.258
11/1/1988,26.195
12/1/1988,25.536
1/1/1989,26.07
2/1/1989,25.78
3/1/1989,25.94
4/1/1989,26.088
5/1/1989,26.426
6/1/1989,26.033
7/1/1989,25.907
8/1/1989,25.982
9/1/1989,26.04
10/1/1989,26.167
11/1/1989,26.241
12/1/1989,25.974
1/1/1990,25.717
2/1/1990,26.373
3/1/1990,26.386
4/1/1990,26.715
5/1/1990,26.7
6/1/1990,26.359
7/1/1990,25.775
8/1/1990,26.103
9/1/1990,26.142
10/1/1990,26.154
11/1/1990,26.507
12/1/1990,25.923
1/1/1991,25.978
2/1/1991,26.046
3/1/1991,26.277
4/1/1991,26.16
5/1/1991,26.386
6/1/1991,26.313
7/1/1991,25.774
8/1/1991,25.87
9/1/1991,26.082
10/1/1991,26.061
11/1/1991,26.077
12/1/1991,25.878
1/1/1992,26.06
2/1/1992,26.228
3/1/1992,26.554
4/1/1992,26.576
5/1/1992,26.628
6/1/1992,26.246
7/1/1992,25.693
8/1/1992,25.959
9/1/1992,26.202
10/1/1992,26.069
11/1/1992,26.084
12/1/1992,25.743
1/1/1993,25.866
2/1/1993,26.01
3/1/1993,26.023
4/1/1993,26.172
5/1/1993,26.455
6/1/1993,26.275
7/1/1993,25.833
8/1/1993,26.064
9/1/1993,26.101
10/1/1993,26.203
11/1/1993,26.488
12/1/1993,26.176
1/1/1994,25.909
2/1/1994,26.19
3/1/1994,25.932
4/1/1994,26.12
5/1/1994,26.326
6/1/1994,25.966
7/1/1994,25.665
8/1/1994,25.684
9/1/1994,26.114
10/1/1994,26.28
11/1/1994,26.676
12/1/1994,26.149
1/1/1995,26.024
2/1/1995,25.984
3/1/1995,26.217
4/1/1995,26.382
5/1/1995,26.787
6/1/1995,26.487
7/1/1995,25.884
8/1/1995,25.896
9/1/1995,26.308
10/1/1995,26.47
11/1/1995,26.339
12/1/1995,25.978
1/1/1996,25.726
2/1/1996,25.818
3/1/1996,26.663
4/1/1996,26.422
5/1/1996,26.806
6/1/1996,26.377
7/1/1996,26.065
8/1/1996,26.017
9/1/1996,26.37
10/1/1996,26.091
11/1/1996,26.291
12/1/1996,25.934
1/1/1997,25.829
2/1/1997,25.946
3/1/1997,26.583
4/1/1997,26.314
5/1/1997,26.767
6/1/1997,26.609
7/1/1997,25.999
8/1/1997,26.344
9/1/1997,26.222
10/1/1997,26.494
11/1/1997,26.691
12/1/1997,26.665
1/1/1998,26.925
2/1/1998,27.114
3/1/1998,27.3
4/1/1998,27.187
5/1/1998,27.478
6/1/1998,26.781
7/1/1998,26.43
8/1/1998,26.229
9/1/1998,26.541
10/1/1998,26.559
11/1/1998,26.479
12/1/1998,26.034
1/1/1999,26.093
2/1/1999,26.286
3/1/1999,26.284
4/1/1999,26.499
5/1/1999,26.248
6/1/1999,26.178
7/1/1999,25.708
8/1/1999,25.802
9/1/1999,26.108
10/1/1999,26.028
11/1/1999,26.322
12/1/1999,26.046
1/1/2000,25.894
2/1/2000,26.088
3/1/2000,26.308
4/1/2000,26.25
5/1/2000,26.682
6/1/2000,25.831
7/1/2000,25.958
8/1/2000,25.833
9/1/2000,26.429
10/1/2000,26.172
11/1/2000,26.404
12/1/2000,26.434
1/1/2001,25.985
2/1/2001,26.153
3/1/2001,26.401
4/1/2001,26.411
5/1/2001,26.836
6/1/2001,26.119
7/1/2001,26.191
8/1/2001,26.259
9/1/2001,26.412
10/1/2001,26.592
11/1/2001,26.489
12/1/2001,26.109
1/1/2002,26.249
2/1/2002,26.434
3/1/2002,26.576
4/1/2002,26.595
5/1/2002,26.917
6/1/2002,26.405
7/1/2002,26.368
8/1/2002,26.23
9/1/2002,26.36
10/1/2002,26.687
11/1/2002,26.772
12/1/2002,26.755
1/1/2003,26.352
2/1/2003,26.35
3/1/2003,26.562
4/1/2003,26.641
5/1/2003,26.919
6/1/2003,26.665
7/1/2003,25.999
8/1/2003,26.276
9/1/2003,26.348
10/1/2003,26.427
11/1/2003,26.728
12/1/2003,26.079
1/1/2004,26.384
2/1/2004,26.281
3/1/2004,26.653
4/1/2004,26.795
5/1/2004,26.94
6/1/2004,26.39
7/1/2004,25.693
8/1/2004,26.146
9/1/2004,26.38
10/1/2004,26.604
11/1/2004,26.694
12/1/2004,26.258
1/1/2005,26.332
2/1/2005,26.712
3/1/2005,26.793
4/1/2005,26.493
5/1/2005,26.689
6/1/2005,26.582
7/1/2005,26.144
8/1/2005,26.336
9/1/2005,26.667
10/1/2005,26.329
11/1/2005,26.382
12/1/2005,25.986
1/1/2006,26.026
2/1/2006,26.397
3/1/2006,26.572
4/1/2006,26.305
5/1/2006,26.572
6/1/2006,26.125
7/1/2006,26.259
8/1/2006,26.1
9/1/2006,26.137
10/1/2006,26.539
11/1/2006,26.846
12/1/2006,26.703
1/1/2007,26.419
2/1/2007,26.246
3/1/2007,26.472
4/1/2007,26.367
5/1/2007,26.808
6/1/2007,26.417
7/1/2007,25.886
8/1/2007,25.869
9/1/2007,26.159
10/1/2007,26.399
11/1/2007,26.368
12/1/2007,26.107
1/1/2008,26.193
2/1/2008,26.033
3/1/2008,25.997
4/1/2008,26.039
5/1/2008,26.419
6/1/2008,25.945
7/1/2008,25.6
8/1/2008,25.747
9/1/2008,26.195
10/1/2008,26.259
11/1/2008,26.404
12/1/2008,25.952
1/1/2009,25.999
2/1/2009,25.966
3/1/2009,26.228
4/1/2009,26.64
5/1/2009,26.852
6/1/2009,26.538
7/1/2009,26.103
8/1/2009,26.464
9/1/2009,26.923
10/1/2009,26.608
11/1/2009,26.692
12/1/2009,26.447
1/1/2010,26.201
2/1/2010,26.907
3/1/2010,26.853
4/1/2010,26.969
5/1/2010,27.218
6/1/2010,26.628
7/1/2010,26.231
8/1/2010,26.369
9/1/2010,26.321
10/1/2010,26.386
11/1/2010,26.412
12/1/2010,25.949
1/1/2011,25.843
2/1/2011,26.095
3/1/2011,26.096
4/1/2011,26.184
5/1/2011,26.617
6/1/2011,26.165
7/1/2011,26.021
8/1/2011,26.136
9/1/2011,26.204
10/1/2011,26.316
11/1/2011,26.53
12/1/2011,26.22
1/1/2012,26.145
2/1/2012,26.152
3/1/2012,26.285
4/1/2012,26.359
5/1/2012,26.64
6/1/2012,26.312
7/1/2012,25.802
8/1/2012,26.065
9/1/2012,26.433
10/1/2012,26.595
11/1/2012,26.651
12/1/2012,26.426
1/1/2013,26.403
2/1/2013,26.209
3/1/2013,26.934
4/1/2013,26.628
5/1/2013,26.818
6/1/2013,26.881
7/1/2013,25.902
8/1/2013,25.961
